,Mut_num,#,Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
TP53,266,247,500,0.49,Yes
TTN,312,136,500,0.27,No
PIK3CA,77,71,500,0.14,Yes
OBSCN,88,62,500,0.12,No
RYR2,86,60,500,0.12,No
LRP1B,88,59,500,0.12,Yes
FLG,73,58,500,0.12,No
ZFHX4,91,57,500,0.11,No
DSPP,62,54,500,0.11,No
HMCN1,69,53,500,0.11,No
USH2A,67,51,500,0.10,No
FSIP2,65,51,500,0.10,No
SYNE1,68,49,500,0.10,No
FAT3,70,48,500,0.10,No
RYR1,58,47,500,0.09,No
CSMD1,69,46,500,0.09,No
DNAH5,60,43,500,0.09,No
KMT2D,62,43,500,0.09,Yes
PCLO,73,43,500,0.09,Yes
APOB,56,42,500,0.08,No
CSMD3,75,42,500,0.08,No
RYR3,51,41,500,0.08,No
FAT4,49,41,500,0.08,Yes
XIRP2,55,40,500,0.08,No
ARID1A,45,39,500,0.08,Yes
PKHD1L1,59,39,500,0.08,No
HRNR,46,39,500,0.08,No
ANK3,50,38,500,0.08,No
FAT2,41,38,500,0.08,No
DNAH3,47,38,500,0.08,No
WDFY4,46,38,500,0.08,No
ABCA13,51,38,500,0.08,No
KRAS,37,37,500,0.07,Yes
KMT2C,50,37,500,0.07,Yes
AHNAK,49,37,500,0.07,No
EYS,43,37,500,0.07,No
APC,43,36,500,0.07,Yes
DNAH8,46,36,500,0.07,No
SPTA1,44,36,500,0.07,No
WDR87,49,36,500,0.07,No
ZNF469,50,36,500,0.07,No
DNAH10,50,36,500,0.07,No
DNAH6,48,35,500,0.07,No
DNAH9,45,35,500,0.07,No
PKHD1,48,35,500,0.07,No
DNAH7,51,35,500,0.07,No
PCDH15,43,35,500,0.07,No
ANK2,48,34,500,0.07,No
PRKDC,42,34,500,0.07,Yes
NAV3,41,34,500,0.07,No
LRP2,41,33,500,0.07,No
PLEC,44,33,500,0.07,No
RB1,33,33,500,0.07,Yes
FCGBP,38,33,500,0.07,No
ADGRV1,57,33,500,0.07,No
PLXNA4,37,33,500,0.07,No
LAMA5,36,32,500,0.06,No
CUBN,35,32,500,0.06,No
ZNF536,40,32,500,0.06,No
COL22A1,41,32,500,0.06,No
DMD,37,31,500,0.06,No
NEB,41,31,500,0.06,No
DNAH17,37,31,500,0.06,No
DNAH11,34,31,500,0.06,No
CACNA1H,33,31,500,0.06,No
RNF213,35,31,500,0.06,Yes
TMEM132C,31,31,500,0.06,No
CSMD2,44,31,500,0.06,No
CACNA1A,33,30,500,0.06,No
FAT1,38,30,500,0.06,Yes
SI,34,30,500,0.06,No
NRXN1,36,30,500,0.06,No
SPEG,35,30,500,0.06,No
HYDIN,49,30,500,0.06,No
STAB2,35,30,500,0.06,No
PREX2,39,30,500,0.06,Yes
SYNE2,30,29,500,0.06,No
FMN2,40,29,500,0.06,No
SDK1,35,29,500,0.06,No
DST,40,28,500,0.06,No
VCAN,45,28,500,0.06,No
TG,35,28,500,0.06,No
ALMS1,31,28,500,0.06,No
NBEA,33,28,500,0.06,No
DNAH14,29,28,500,0.06,No
CNTNAP5,33,28,500,0.06,No
ASPM,34,28,500,0.06,No
FLG2,36,28,500,0.06,No
AR,29,27,500,0.05,Yes
ZFHX3,37,27,500,0.05,Yes
CACNA1E,34,27,500,0.05,No
COL6A3,30,27,500,0.05,No
COL11A1,43,27,500,0.05,No
GNAS,27,27,500,0.05,Yes
PEG3,39,27,500,0.05,No
DCHS2,41,27,500,0.05,No
STARD9,31,27,500,0.05,No
CDH23,31,27,500,0.05,No
THSD7B,30,27,500,0.05,No
RP1L1,31,27,500,0.05,No
AHNAK2,31,27,500,0.05,No
BRINP3,31,27,500,0.05,No
ATM,28,26,500,0.05,Yes
CDKN2A,28,26,500,0.05,Yes
LYST,29,26,500,0.05,No
CTNND2,27,26,500,0.05,No
HSPG2,33,26,500,0.05,No
NOTCH1,31,26,500,0.05,Yes
RELN,36,26,500,0.05,Yes
SCN10A,34,26,500,0.05,No
HERC1,30,26,500,0.05,No
KALRN,31,26,500,0.05,No
AKAP9,33,26,500,0.05,No
MACF1,34,26,500,0.05,No
SRRM2,32,26,500,0.05,No
CHD7,28,26,500,0.05,No
PAPPA2,33,26,500,0.05,No
ADAMTS20,36,26,500,0.05,No
SPHKAP,32,26,500,0.05,No
KIAA1109,32,26,500,0.05,No
VPS13B,31,26,500,0.05,No
COL6A5,35,26,500,0.05,No
UNC13C,27,26,500,0.05,No
COL5A1,32,25,500,0.05,No
FLNC,26,25,500,0.05,No
HTT,32,25,500,0.05,No
JAK1,31,25,500,0.05,Yes
MYH9,28,25,500,0.05,Yes
PTEN,26,25,500,0.05,Yes
DCHS1,30,25,500,0.05,No
OTOF,27,25,500,0.05,No
MAGEC1,32,25,500,0.05,No
SRCAP,30,25,500,0.05,No
MDN1,27,25,500,0.05,No
DNAH1,30,25,500,0.05,No
ASH1L,29,25,500,0.05,No
CFAP54,34,25,500,0.05,No
FREM3,28,25,500,0.05,No
PKD1L1,28,25,500,0.05,No
FAM205A,25,25,500,0.05,No
GOLGA6L2,26,25,500,0.05,No
OR6C76,28,25,500,0.05,No
ATXN3,25,24,500,0.05,No
MYH4,25,24,500,0.05,No
PTPRD,32,24,500,0.05,Yes
RP1,29,24,500,0.05,No
CACNA1G,34,24,500,0.05,No
HERC2,27,24,500,0.05,No
TENM1,29,24,500,0.05,No
PTPRT,25,24,500,0.05,Yes
NPAP1,28,24,500,0.05,No
SACS,24,24,500,0.05,No
SHANK1,26,24,500,0.05,No
TENM2,28,24,500,0.05,No
COL20A1,26,24,500,0.05,No
FNDC1,27,24,500,0.05,No
ZNF831,31,24,500,0.05,No
PXDNL,29,24,500,0.05,No
ADGRG4,29,24,500,0.05,No
DNHD1,32,24,500,0.05,No
LAMA1,26,24,500,0.05,No
DSCAM,27,23,500,0.05,No
MYH7,25,23,500,0.05,No
PLCB4,25,23,500,0.05,No
SCN2A,25,23,500,0.05,No
TECTA,30,23,500,0.05,No
SHANK2,27,23,500,0.05,No
TENM4,30,23,500,0.05,No
MYO15A,25,23,500,0.05,No
BIRC6,27,23,500,0.05,No
EP400,26,23,500,0.05,Yes
WNK2,30,23,500,0.05,No
MYO18B,30,23,500,0.05,No
TMEM132D,25,23,500,0.05,No
LOXHD1,26,23,500,0.05,No
COL6A6,25,23,500,0.05,No
DNAH12,25,23,500,0.05,No
CACNA1B,24,22,500,0.04,No
CACNA1C,27,22,500,0.04,No
CENPF,24,22,500,0.04,No
CELSR3,26,22,500,0.04,No
LRP1,30,22,500,0.04,No
MYO7A,24,22,500,0.04,No
NF1,27,22,500,0.04,Yes
PTPRC,23,22,500,0.04,Yes
RBBP6,25,22,500,0.04,No
SCN1A,26,22,500,0.04,No
TACC2,26,22,500,0.04,No
DIDO1,25,22,500,0.04,No
WDFY3,25,22,500,0.04,No
MGA,23,22,500,0.04,Yes
FAM135B,26,22,500,0.04,No
TENM3,27,22,500,0.04,No
PCDHA6,27,22,500,0.04,No
DYNC2H1,28,22,500,0.04,No
SVEP1,25,22,500,0.04,No
ASXL3,27,22,500,0.04,No
FBN3,25,22,500,0.04,No
ZNF804A,27,22,500,0.04,No
POM121L2,22,22,500,0.04,No
ARID2,23,22,500,0.04,Yes
AMER3,27,22,500,0.04,No
SSC5D,27,22,500,0.04,No
UNC80,27,22,500,0.04,No
OTOG,28,22,500,0.04,No
KRTAP4-7,22,22,500,0.04,No
F8,24,21,500,0.04,No
FN1,27,21,500,0.04,No
INSRR,22,21,500,0.04,No
LAMA2,22,21,500,0.04,No
PLCL1,21,21,500,0.04,No
PTPRB,22,21,500,0.04,Yes
KDM6A,23,21,500,0.04,Yes
DYSF,26,21,500,0.04,No
MGAM,25,21,500,0.04,Yes
ZNF646,26,21,500,0.04,No
MED12,25,21,500,0.04,Yes
SCN11A,27,21,500,0.04,No
SETD1B,23,21,500,0.04,Yes
MTCL1,24,21,500,0.04,No
TRHDE,27,21,500,0.04,No
UBR5,26,21,500,0.04,Yes
MYO3A,25,21,500,0.04,No
KIF26B,25,21,500,0.04,No
PCNX2,22,21,500,0.04,No
PKD1L2,24,21,500,0.04,No
ALPK2,23,21,500,0.04,No
ANO5,25,21,500,0.04,No
USF3,26,21,500,0.04,No
CCDC168,22,21,500,0.04,No
ADCY8,21,20,500,0.04,No
ASTN1,25,20,500,0.04,No
ADGRB3,27,20,500,0.04,No
COL1A1,29,20,500,0.04,Yes
COL11A2,21,20,500,0.04,No
COL12A1,24,20,500,0.04,No
CREBBP,24,20,500,0.04,Yes
CTNNA2,24,20,500,0.04,No
DMXL1,23,20,500,0.04,No
DOCK3,25,20,500,0.04,No
CELSR2,21,20,500,0.04,No
GOLGB1,24,20,500,0.04,No
GRM8,21,20,500,0.04,No
CFH,24,20,500,0.04,No
PTPN13,20,20,500,0.04,Yes
ROBO2,22,20,500,0.04,No
ROS1,22,20,500,0.04,Yes
SCN5A,22,20,500,0.04,No
TPR,22,20,500,0.04,Yes
ZAN,20,20,500,0.04,No
CACNA1I,24,20,500,0.04,No
SEMA5A,21,20,500,0.04,No
GREB1,25,20,500,0.04,No
HUWE1,25,20,500,0.04,No
ABCA10,21,20,500,0.04,No
TRIOBP,25,20,500,0.04,No
PDZD2,22,20,500,0.04,No
STAB1,26,20,500,0.04,No
TTC28,23,20,500,0.04,No
CNTNAP2,28,20,500,0.04,No
SPTBN5,23,20,500,0.04,No
DOCK10,22,20,500,0.04,No
ARID1B,25,20,500,0.04,Yes
UNC79,25,20,500,0.04,No
SHROOM3,22,20,500,0.04,No
ZDBF2,25,20,500,0.04,No
PIEZO2,29,20,500,0.04,No
ERICH3,23,20,500,0.04,No
AK9,20,20,500,0.04,No
HECTD4,28,20,500,0.04,No
IGSF10,22,20,500,0.04,No
KCNT2,20,20,500,0.04,No
MAFA,20,20,500,0.04,No
FER1L6,25,20,500,0.04,No
TDRD15,21,20,500,0.04,No
ADCY2,19,19,500,0.04,No
ADGRB2,21,19,500,0.04,No
LRBA,22,19,500,0.04,No
COL4A1,23,19,500,0.04,No
CPS1,24,19,500,0.04,Yes
CUX1,23,19,500,0.04,Yes
DOCK2,23,19,500,0.04,No
FBN2,20,19,500,0.04,No
GRIN2A,21,19,500,0.04,Yes
GRIN2B,24,19,500,0.04,No
MYH1,25,19,500,0.04,No
NOTCH4,25,19,500,0.04,Yes
PPP1R3A,25,19,500,0.04,No
TNR,23,19,500,0.04,No
TNXB,27,19,500,0.04,No
TRPS1,19,19,500,0.04,No
COL14A1,19,19,500,0.04,No
PRRC2A,21,19,500,0.04,No
CELSR1,21,19,500,0.04,No
MAGI2,24,19,500,0.04,No
DLC1,25,19,500,0.04,No
MYT1L,24,19,500,0.04,No
ADGRL3,22,19,500,0.04,No
PLCE1,19,19,500,0.04,No
CFAP46,21,19,500,0.04,No
DSCAML1,24,19,500,0.04,No
PRR12,23,19,500,0.04,No
LRRC7,23,19,500,0.04,No
ZNF462,22,19,500,0.04,No
EPPK1,22,19,500,0.04,No
NAV2,22,19,500,0.04,No
LRRK2,20,19,500,0.04,Yes
AGBL1,21,19,500,0.04,No
TAF1L,21,19,500,0.04,No
NLRP4,20,19,500,0.04,No
FREM1,20,19,500,0.04,No
PRUNE2,27,19,500,0.04,No
CMYA5,34,19,500,0.04,No
VWDE,20,19,500,0.04,No
MAST4,20,19,500,0.04,No
ACACB,20,18,500,0.04,No
ACAN,22,18,500,0.04,No
ALK,22,18,500,0.04,Yes
ATRX,21,18,500,0.04,Yes
CACNA1F,25,18,500,0.04,No
CACNA1S,19,18,500,0.04,No
DCC,20,18,500,0.04,No
DSP,21,18,500,0.04,No
EGFR,21,18,500,0.04,Yes
EP300,25,18,500,0.04,Yes
EPHA5,21,18,500,0.04,Yes
ESR1,20,18,500,0.04,Yes
F5,21,18,500,0.04,No
BPTF,18,18,500,0.04,No
FBN1,24,18,500,0.04,No
FLT4,19,18,500,0.04,Yes
LAMA3,20,18,500,0.04,No
LAMB3,21,18,500,0.04,No
MYH2,20,18,500,0.04,No
MYT1,23,18,500,0.04,No
NPHS1,19,18,500,0.04,No
